s	pop	prob_EUR	prob_EAS	prob_AMR	prob_CSA	prob_AFR	prob_OCE	prob_MID	true_pop
HG02250	EAS	0.00043845797662103004	0.9976435897996231	0.0005593071762929038	0.00016479793081312712	0.0004972416077597296	0.0003162628003520913	0.00038034270853796835	EAS
HG02265	AMR	0.00024324995801001695	0.0008747886448431292	0.9959722657717088	0.0005720750455790697	0.0012765827621349433	0.0004844799633173968	0.0005765578544065419	AMR
HG02272	AMR	0.00024837451689986155	0.0008909700426934357	0.9958915497731781	0.0005826305406570172	0.0013000441531056093	0.0004993020885178418	0.0005871288849480828	AMR
HG02275	AMR	0.00024324995801001695	0.0008747886448431292	0.9959722657717088	0.0005720750455790697	0.0012765827621349433	0.0004844799633173968	0.0005765578544065419	AMR
HG02283	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG02301	AMR	0.00024324995801001695	0.0008747886448431292	0.9959722657717088	0.0005720750455790697	0.0012765827621349433	0.0004844799633173968	0.0005765578544065419	AMR
HG02302	AMR	0.00024325022847140743	0.0008747904476589371	0.9959722615918672	0.0005720754530555308	0.001276583519062612	0.00048448039441095	0.0005765583654731354	AMR
HG02307	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG02334	AFR	0.0005196147935913569	0.0006983946328204891	0.0014129201709349604	0.00043814053044726066	0.9960890195361751	0.0003867339352489451	0.00045517640078195315	AFR
HG02353	EAS	0.00043845797662103004	0.9976435897996231	0.0005593071762929038	0.00016479793081312712	0.0004972416077597296	0.0003162628003520913	0.00038034270853796835	EAS
HG02364	EAS	0.00046513116092925167	0.9975209418376182	0.0005953607590346755	0.00017334161904852003	0.0005185758965703725	0.00032996685795272954	0.00039668186884607833	EAS
HG02380	EAS	0.00045666851089341885	0.9975827882262878	0.0005721975590957484	0.00016901246117034536	0.0005078650251773447	0.0003230454550213147	0.00038842276235414577	EAS
HG02382	EAS	0.00043845797156593107	0.9976435898252314	0.0005593071702379978	0.00016479792861668954	0.0004972416020549192	0.00031626279740146294	0.00038034270489182073	EAS
